LOCATION,TIME,Value
AUS,2019-01,5.052194
AUS,2019-02,4.974527
AUS,2019-03,5.088525
AUS,2019-04,5.204163
AUS,2019-05,5.197917
AUS,2019-06,5.260001
AUS,2019-07,5.288794
AUS,2019-08,5.27555
AUS,2019-09,5.212664
AUS,2019-10,5.313169
AUS,2019-11,5.169869
AUS,2019-12,5.068987
AUS,2020-01,5.267522
AUS,2020-02,5.084966
AUS,2020-03,5.218182
AUS,2020-04,6.294097
AUS,2020-05,6.991627
AUS,2020-06,7.433662
AUS,2020-07,7.540934
AUS,2020-08,6.830622
AUS,2020-09,6.928481
AUS,2020-10,6.981556
AUS,2020-11,6.841243
AUS,2020-12,6.591623
AUS,2021-01,6.332606
AUS,2021-02,5.802754
AUS,2021-03,5.62768
AUS,2021-04,5.397193
AUS,2021-05,5.040593
AUS,2021-06,4.967365
AUS,2021-07,4.709782
AUS,2021-08,4.56434
AUS,2021-09,4.66769
AUS,2021-10,5.256564
AUS,2021-11,4.607302
AUS,2021-12,4.178392
AUS,2022-01,4.160457
AUS,2022-02,4.010378
AUS,2022-03,3.935643
AUS,2022-04,3.856575
AUS,2022-05,3.894713
AUS,2022-06,3.57061
AUS,2022-07,3.458329
AUS,2022-08,3.509443
AUS,2022-09,3.568211
AUS,2022-10,3.430133
AUS,2022-11,3.470103
AUS,2022-12,3.528264
AUS,2023-01,3.672163
AUS,2023-02,3.551549
AUS,2023-03,3.540055
AUS,2023-04,3.66414
AUT,2019-01,4.9
AUT,2019-02,5
AUT,2019-03,5
AUT,2019-04,4.9
AUT,2019-05,4.9
AUT,2019-06,4.6
AUT,2019-07,4.9
AUT,2019-08,5.1
AUT,2019-09,4.6
AUT,2019-10,5
AUT,2019-11,4.1
AUT,2019-12,4.7
AUT,2020-01,4.3
AUT,2020-02,4.6
AUT,2020-03,4.8
AUT,2020-04,6
AUT,2020-05,7
AUT,2020-06,7.9
AUT,2020-07,6.8
AUT,2020-08,6.4
AUT,2020-09,6.5
AUT,2020-10,6.1
AUT,2020-11,5.8
AUT,2020-12,6.8
AUT,2021-01,7.6
AUT,2021-02,7
AUT,2021-03,6.5
AUT,2021-04,7.2
AUT,2021-05,6.7
AUT,2021-06,6.2
AUT,2021-07,6.1
AUT,2021-08,6.1
AUT,2021-09,4.9
AUT,2021-10,5.9
AUT,2021-11,5.1
AUT,2021-12,4.8
AUT,2022-01,4.7
AUT,2022-02,4.8
AUT,2022-03,4.2
AUT,2022-04,4.4
AUT,2022-05,4.7
AUT,2022-06,4.2
AUT,2022-07,4.6
AUT,2022-08,5.3
AUT,2022-09,5.2
AUT,2022-10,4.5
AUT,2022-11,5.5
AUT,2022-12,4.9
AUT,2023-01,5.1
AUT,2023-02,4.9
AUT,2023-03,4.5
AUT,2023-04,5.1
BEL,2019-01,5.7
BEL,2019-02,5.6
BEL,2019-03,5.6
BEL,2019-04,5.6
BEL,2019-05,5.5
BEL,2019-06,5.4
BEL,2019-07,5.2
BEL,2019-08,5.1
BEL,2019-09,5.1
BEL,2019-10,5.2
BEL,2019-11,5.2
BEL,2019-12,5.3
BEL,2020-01,5.2
BEL,2020-02,5.1
BEL,2020-03,5
BEL,2020-04,4.9
BEL,2020-05,5
BEL,2020-06,5.4
BEL,2020-07,6
BEL,2020-08,6.4
BEL,2020-09,6.3
BEL,2020-10,5.8
BEL,2020-11,5.8
BEL,2020-12,6
BEL,2021-01,6.5
BEL,2021-02,6.8
BEL,2021-03,6.8
BEL,2021-04,6.4
BEL,2021-05,6.3
BEL,2021-06,6.2
BEL,2021-07,6.3
BEL,2021-08,6.3
BEL,2021-09,6.2
BEL,2021-10,6
BEL,2021-11,5.8
BEL,2021-12,5.6
BEL,2022-01,5.3
BEL,2022-02,5.3
BEL,2022-03,5.4
BEL,2022-04,5.7
BEL,2022-05,5.9
BEL,2022-06,5.8
BEL,2022-07,5.5
BEL,2022-08,5.4
BEL,2022-09,5.4
BEL,2022-10,5.6
BEL,2022-11,5.7
BEL,2022-12,5.7
BEL,2023-01,5.6
BEL,2023-02,5.6
BEL,2023-03,5.6
BEL,2023-04,5.6
CAN,2019-01,5.7
CAN,2019-02,5.8
CAN,2019-03,5.9
CAN,2019-04,5.7
CAN,2019-05,5.4
CAN,2019-06,5.6
CAN,2019-07,5.8
CAN,2019-08,5.8
CAN,2019-09,5.6
CAN,2019-10,5.6
CAN,2019-11,5.9
CAN,2019-12,5.6
CAN,2020-01,5.5
CAN,2020-02,5.7
CAN,2020-03,8.4
CAN,2020-04,13.6
CAN,2020-05,14.1
CAN,2020-06,12.4
CAN,2020-07,11
CAN,2020-08,10.2
CAN,2020-09,9.2
CAN,2020-10,9
CAN,2020-11,8.7
CAN,2020-12,8.9
CAN,2021-01,9.2
CAN,2021-02,8.5
CAN,2021-03,7.6
CAN,2021-04,8.2
CAN,2021-05,8.2
CAN,2021-06,7.8
CAN,2021-07,7.5
CAN,2021-08,7.2
CAN,2021-09,7.1
CAN,2021-10,6.6
CAN,2021-11,6.2
CAN,2021-12,6
CAN,2022-01,6.5
CAN,2022-02,5.4
CAN,2022-03,5.3
CAN,2022-04,5.3
CAN,2022-05,5.2
CAN,2022-06,4.9
CAN,2022-07,4.9
CAN,2022-08,5.3
CAN,2022-09,5.2
CAN,2022-10,5.2
CAN,2022-11,5.1
CAN,2022-12,5
CAN,2023-01,5
CAN,2023-02,5
CAN,2023-03,5
CAN,2023-04,5
CAN,2023-05,5.2
CZE,2019-01,2.1
CZE,2019-02,1.7
CZE,2019-03,2
CZE,2019-04,2
CZE,2019-05,2.1
CZE,2019-06,1.8
CZE,2019-07,2.1
CZE,2019-08,2.1
CZE,2019-09,2
CZE,2019-10,2.2
CZE,2019-11,2.2
CZE,2019-12,1.9
CZE,2020-01,2
CZE,2020-02,1.8
CZE,2020-03,1.8
CZE,2020-04,2.2
CZE,2020-05,2.5
CZE,2020-06,2.6
CZE,2020-07,3
CZE,2020-08,2.8
CZE,2020-09,2.8
CZE,2020-10,3.2
CZE,2020-11,3
CZE,2020-12,3
CZE,2021-01,3.3
CZE,2021-02,3.2
CZE,2021-03,3.2
CZE,2021-04,3.3
CZE,2021-05,3.1
CZE,2021-06,2.8
CZE,2021-07,2.7
CZE,2021-08,2.8
CZE,2021-09,2.6
CZE,2021-10,2.5
CZE,2021-11,2.2
CZE,2021-12,2.2
CZE,2022-01,2.3
CZE,2022-02,2.5
CZE,2022-03,2.3
CZE,2022-04,2.5
CZE,2022-05,2.4
CZE,2022-06,2.4
CZE,2022-07,2.4
CZE,2022-08,2.4
CZE,2022-09,2.3
CZE,2022-10,2.2
CZE,2022-11,2.7
CZE,2022-12,2.3
CZE,2023-01,2.5
CZE,2023-02,2.4
CZE,2023-03,2.6
CZE,2023-04,2.7
DNK,2019-01,5.1
DNK,2019-02,5.1
DNK,2019-03,5.2
DNK,2019-04,5.4
DNK,2019-05,4.8
DNK,2019-06,4.5
DNK,2019-07,4.6
DNK,2019-08,4.9
DNK,2019-09,5.1
DNK,2019-10,5
